iteration,timestamp,time_ms,memory_process_mb,memory_system_mb,temp_delta_c,temp_absolute_c,current_ma
1,2025-12-05T15:38:08.670096,0.12377799998830596,0.0,0.0,0.5999999999999943,37.3,0.0
2,2025-12-05T15:38:08.676908,0.12957399997048924,0.0,0.0,0.0,36.7,0.1
3,2025-12-05T15:38:08.683626,0.12753700002576807,0.0,0.0,0.0,37.3,-0.30000000000000004
4,2025-12-05T15:38:08.690259,0.12570500007313967,0.0,0.0,0.0,37.3,-0.1
5,2025-12-05T15:38:08.696919,0.12722299993583874,0.0,0.0,0.0,37.8,-0.1
6,2025-12-05T15:38:08.703633,0.1280750000205444,0.0,0.0,0.5999999999999943,37.3,-0.1
7,2025-12-05T15:38:08.710331,0.12733399989883765,0.0,0.0,0.0,37.3,0.30000000000000004
8,2025-12-05T15:38:08.717050,0.12496300007569516,0.0,0.0,0.0,37.3,0.1
9,2025-12-05T15:38:08.723730,0.12883499994131853,0.0,0.0,0.0,37.3,0.1
10,2025-12-05T15:38:08.730526,0.12772299999141978,0.0,0.0,-0.5999999999999943,36.7,0
11,2025-12-05T15:38:08.737218,0.1280370000813491,0.0,0.0,0.0,36.7,-0.1
12,2025-12-05T15:38:08.743884,0.1284639999994397,0.0,0.0,0.0,37.3,-0.2
13,2025-12-05T15:38:08.752683,0.11013100004220178,0.0,0.0,0.0,37.3,0.10000000000000003
14,2025-12-05T15:38:08.758945,0.11203700000805838,0.0,0.0,0.5,37.8,0.1
15,2025-12-05T15:38:08.765231,0.11307500005841575,0.0,0.0,0.0,37.8,-0.1
16,2025-12-05T15:38:08.771565,0.11401899996599241,0.0,0.0,1.0999999999999943,37.8,0.1
17,2025-12-05T15:38:08.777790,0.11538899991592189,0.0,0.0,-0.5,37.3,-0.10000000000000003
18,2025-12-05T15:38:08.784057,0.11346399992362421,0.0,0.0,-0.5999999999999943,36.7,0.0
19,2025-12-05T15:38:08.790351,0.13464899996051827,0.0,0.0,0.0,36.7,0.0
20,2025-12-05T15:38:08.796627,0.11150000000270666,0.0,0.0,0.0,36.7,0.1
21,2025-12-05T15:38:08.802952,0.115482000069278,0.0,0.0,1.6999999999999957,38.4,0.4
22,2025-12-05T15:38:08.809214,0.11085200003435602,0.0,0.0,-1.1000000000000014,37.3,-0.10000000000000003
23,2025-12-05T15:38:08.815543,0.11220499993669364,0.0,0.0,0.0,37.3,-0.30000000000000004
24,2025-12-05T15:38:08.821806,0.11151900002914772,0.0,0.0,0.0,37.3,-0.10000000000000003
25,2025-12-05T15:38:08.828050,0.11526000002959336,0.0,0.0,0.0,36.2,0.2
26,2025-12-05T15:38:08.834345,0.12709299994639878,0.0,0.0,0.0,37.3,-0.1
27,2025-12-05T15:38:08.840570,0.11240799994993722,0.0,0.0,0.0,37.3,-0.2
28,2025-12-05T15:38:08.850180,0.114852000024257,0.0,0.0,0.0,37.3,0.30000000000000004
29,2025-12-05T15:38:08.856760,0.11916699997982505,0.0,0.0,-1.0999999999999943,36.2,0.2
30,2025-12-05T15:38:08.863321,0.11705600002187566,0.0,0.0,1.5999999999999943,37.8,-0.2
31,2025-12-05T15:38:08.869936,0.11642599997685465,0.0,0.0,0.0,36.7,-0.2
32,2025-12-05T15:38:08.876530,0.11683400009587785,0.0,0.0,0.5,37.8,0.30000000000000004
33,2025-12-05T15:38:08.883079,0.11737099998754275,0.0,0.0,0.0,37.8,0.2
34,2025-12-05T15:38:08.889588,0.11503799998990871,0.0,0.0,0.0,37.8,-0.2
35,2025-12-05T15:38:08.896103,0.11548199995559116,0.0,0.0,0.0,37.3,0.30000000000000004
36,2025-12-05T15:38:08.902633,0.117315000011331,0.0,0.0,0.0,37.3,0.1
37,2025-12-05T15:38:08.909223,0.11618600001384038,0.0,0.0,0.5,37.8,0.30000000000000004
38,2025-12-05T15:38:08.915779,0.11761099995055702,0.0,0.0,-0.5,37.3,-0.1
39,2025-12-05T15:38:08.922349,0.11907499992958037,0.0,0.0,0.0,37.8,0.10000000000000003
40,2025-12-05T15:38:08.928901,0.11729700008800137,0.0,0.0,-0.5,37.3,0
41,2025-12-05T15:38:08.935475,0.11579699992125825,0.0,0.0,0.5,37.8,-0.1
42,2025-12-05T15:38:08.942005,0.11798299999554729,0.0,0.0,0.0,37.8,-0.1
43,2025-12-05T15:38:08.948583,0.1174259999743299,0.0,0.0,0.0,38.4,0.0
44,2025-12-05T15:38:08.955166,0.11726000002454384,0.0,0.0,0.5999999999999943,37.3,0.2
45,2025-12-05T15:38:08.961772,0.1175560000774567,0.0,0.0,0.0,37.3,0.30000000000000004
46,2025-12-05T15:38:08.968321,0.11694500005887676,0.0,0.0,0.5,37.8,0.2
47,2025-12-05T15:38:08.974895,0.11835299994800152,0.0,0.0,0.0,37.3,0.30000000000000004
48,2025-12-05T15:38:08.981476,0.1170379999848592,0.0,0.0,0.5,37.8,-0.30000000000000004
49,2025-12-05T15:38:08.988026,0.11668600006942142,0.0,0.0,-1.0999999999999943,36.7,-0.4
50,2025-12-05T15:38:08.994550,0.11835299994800152,0.0,0.0,0.0,36.7,-0.2
51,2025-12-05T15:38:09.001101,0.11792600002991094,0.0,0.0,0.0,37.3,0.0
52,2025-12-05T15:38:09.007653,0.11538900002960872,0.0,0.0,-0.5999999999999943,36.7,-0.1
53,2025-12-05T15:38:09.014186,0.11796300009336846,0.0,0.0,0.5999999999999943,37.3,0.0
54,2025-12-05T15:38:09.020776,0.11714900006154494,0.0,0.0,0.0,37.3,0.1
55,2025-12-05T15:38:09.027300,0.11801900006958022,0.0,0.0,0.0,37.8,0.0
56,2025-12-05T15:38:09.033895,0.11744500000077096,0.0,0.0,0.5,37.8,0.30000000000000004
57,2025-12-05T15:38:09.040463,0.11566700004550512,0.0,0.0,0.0,37.8,-0.1
58,2025-12-05T15:38:09.046964,0.1187230000141426,0.0,0.0,-0.5,37.3,-0.1
59,2025-12-05T15:38:09.053545,0.11698200000864745,0.0,0.0,0.0,37.8,-0.19999999999999996
60,2025-12-05T15:38:09.060144,0.11750099997698271,0.0,0.0,0.0,37.8,-0.10000000000000003
61,2025-12-05T15:38:09.066658,0.11779700002989557,0.0,0.0,0.0,37.8,-0.1
62,2025-12-05T15:38:09.073266,0.11740800005100027,0.0,0.0,0.0,36.2,-0.2
63,2025-12-05T15:38:09.079831,0.11987100003807427,0.0,0.0,0.0,36.7,0
64,2025-12-05T15:38:09.086366,0.11737099998754275,0.0,0.0,0.5999999999999943,37.3,0.2
65,2025-12-05T15:38:09.092911,0.1176489998897523,0.0,0.0,0.0,37.3,-0.6
66,2025-12-05T15:38:09.099525,0.11726000002454384,0.0,0.0,0.0,37.3,-0.20000000000000004
67,2025-12-05T15:38:09.106077,0.117259999910857,0.0,0.0,0.0,37.8,-0.1
68,2025-12-05T15:38:09.112602,0.11566699993181828,0.0,0.0,0.0,37.3,-0.1
69,2025-12-05T15:38:09.119134,0.11396399997920525,0.0,0.0,0.0,37.3,-0.30000000000000004
70,2025-12-05T15:38:09.125706,0.11631600000328035,0.0,0.0,0.0,37.3,0.0
71,2025-12-05T15:38:09.132340,0.11627899993982282,0.0,0.0,0.0,37.8,-0.2
72,2025-12-05T15:38:09.138869,0.11559299991859007,0.0,0.0,0.5,37.8,-0.30000000000000004
73,2025-12-05T15:38:09.145505,0.1193890000195097,0.0,0.0,-0.5,37.3,0.0
74,2025-12-05T15:38:09.152039,0.119001000030039,0.0,0.0,0.0,37.3,0.0
75,2025-12-05T15:38:09.158574,0.11698200000864745,0.0,0.0,0.0,37.3,0.0
76,2025-12-05T15:38:09.165195,0.11718600001131563,0.0,0.0,-0.5,37.3,-0.20000000000000004
77,2025-12-05T15:38:09.171787,0.11722300007477315,0.0,0.390625,0.0,37.3,0.2
78,2025-12-05T15:38:09.179322,0.11757499999021093,0.0,0.0,0.0,36.7,0
79,2025-12-05T15:38:09.185894,0.11879700002737081,0.0,0.0,-1.1000000000000014,37.3,0.0
80,2025-12-05T15:38:09.192423,0.1166490000059639,0.0,0.0,-0.5999999999999943,36.7,-0.30000000000000004
81,2025-12-05T15:38:09.199043,0.11540800005604979,0.0,0.0,0.0,36.7,-0.1
82,2025-12-05T15:38:09.205664,0.11735299995052628,0.0,0.0,0.0,37.8,0.30000000000000004
83,2025-12-05T15:38:09.212260,0.11707500004831672,0.0,0.0,-0.5999999999999943,36.7,0.0
84,2025-12-05T15:38:09.218804,0.11698299999807205,0.0,0.0,0.5999999999999943,37.3,-0.1
85,2025-12-05T15:38:09.225380,0.11857499998768617,0.0,0.0,0.0,37.3,-0.30000000000000004
86,2025-12-05T15:38:09.231905,0.11716699998487456,0.0,0.0,0.0,37.3,0.2
87,2025-12-05T15:38:09.238503,0.15383400000246183,0.0,0.0,-0.5999999999999943,36.7,0.1
88,2025-12-05T15:38:09.245042,0.11672300001919211,0.0,0.0,0.0,36.7,-0.1
89,2025-12-05T15:38:09.251596,0.11774100005368382,0.0,0.0,0.0,36.7,-0.20000000000000004
90,2025-12-05T15:38:09.258176,0.11546300004283694,0.0,0.0,0.0,37.8,0.1
91,2025-12-05T15:38:09.264706,0.11785199990299589,0.0,0.0,0.5,37.8,-0.1
92,2025-12-05T15:38:09.271250,0.11751900001399918,0.0,0.0,-0.5,37.3,0.1
93,2025-12-05T15:38:09.277898,0.11631599988959351,0.0,0.0,0.0,37.3,0.1
94,2025-12-05T15:38:09.284443,0.11700000004566391,0.0,-0.390625,0.0,37.3,-0.1
95,2025-12-05T15:38:09.290933,0.11616799997682392,0.0,0.0,0.0,37.3,-0.1
96,2025-12-05T15:38:09.297480,0.11540800005604979,0.0,0.0,0.5,37.8,0.2
97,2025-12-05T15:38:09.304010,0.1167599999689628,0.0,0.0,0.0,37.8,-0.30000000000000004
98,2025-12-05T15:38:09.310535,0.11813000003257912,0.0,0.0,0.0,36.7,-0.1
99,2025-12-05T15:38:09.317114,0.11627899993982282,0.0,0.0,1.0999999999999943,37.3,0.30000000000000004
100,2025-12-05T15:38:09.323692,0.11888999995335325,0.0,0.0,0.0,37.3,-0.20000000000000004
101,2025-12-05T15:38:10.330839,0.13264899996556778,0.0,0.0,0.0,36.7,0.0
102,2025-12-05T15:38:10.337643,0.13085299997328548,0.0,0.0,1.0999999999999943,37.8,0.2
103,2025-12-05T15:38:10.344391,0.12944499997047387,0.0,0.0,-0.5,37.3,-0.2
104,2025-12-05T15:38:10.351040,0.12911200008147716,0.0,0.0,0.0,36.7,-0.2
105,2025-12-05T15:38:10.357751,0.12949999995726102,0.0,0.0,0.0,37.3,0.0
106,2025-12-05T15:38:10.364468,0.12859299999945506,0.0,0.0,0.0,37.3,-0.1
107,2025-12-05T15:38:10.371116,0.13142700004209473,0.0,0.0,-0.5999999999999943,36.7,0.1
108,2025-12-05T15:38:10.377809,0.12872299998889503,0.0,0.0,0.0,36.7,-0.1
109,2025-12-05T15:38:10.384493,0.12855599993599753,0.0,0.0,-0.5999999999999943,36.7,0.30000000000000004
110,2025-12-05T15:38:10.391123,0.1285749999624386,0.0,0.0,0.5999999999999943,37.3,-0.2
111,2025-12-05T15:38:10.397819,0.13003799995203735,0.0,0.0,0.0,36.7,-0.30000000000000004
112,2025-12-05T15:38:10.404486,0.12918599998101854,0.0,0.0,0.0,37.3,-0.1
113,2025-12-05T15:38:10.412991,0.11744500000077096,0.0,0.0,0.5999999999999943,37.3,0.1
114,2025-12-05T15:38:10.419588,0.11970499997460138,0.0,0.0,0.0,36.7,0.1
115,2025-12-05T15:38:10.426157,0.1254819999303436,0.0,0.0,-0.5999999999999943,36.7,0.2
116,2025-12-05T15:38:10.432734,0.1166480000165393,0.0,0.0,0.5999999999999943,37.3,0.30000000000000004
117,2025-12-05T15:38:10.439254,0.1177039999902263,0.0,0.0,0.0,37.3,0.30000000000000004
118,2025-12-05T15:38:10.445799,0.11529699997936405,0.0,0.0,0.0,36.7,-0.1
119,2025-12-05T15:38:10.452396,0.11824099999557802,0.0,0.0,-0.6000000000000014,37.8,0.1
120,2025-12-05T15:38:10.458944,0.11864900000091438,0.0,0.0,-0.5,37.3,0.1
121,2025-12-05T15:38:10.465520,0.11652000000594853,0.0,0.0,0.0,37.8,0.2
122,2025-12-05T15:38:10.472080,0.11666799991871812,0.0,0.0,0.0,36.7,0.0
123,2025-12-05T15:38:10.478632,0.11775999996643804,0.0,0.0,-0.5999999999999943,36.7,-0.2
124,2025-12-05T15:38:10.485196,0.11659400001917675,0.0,0.0,0.5999999999999943,37.3,0.0
125,2025-12-05T15:38:10.491845,0.11774100005368382,0.0,0.0,0.0,37.3,0.1
126,2025-12-05T15:38:10.498372,0.1236489999882906,0.0,0.0,0.0,37.8,0.0
127,2025-12-05T15:38:10.504958,0.11661199994250637,0.0,0.0,-0.5999999999999943,36.7,0.1
128,2025-12-05T15:38:10.511526,0.11666700004298036,0.0,0.078125,0.5999999999999943,37.3,0.0
129,2025-12-05T15:38:10.518122,0.11605700001382502,0.0,0.0,0.0,37.8,0.1
130,2025-12-05T15:38:10.524685,0.11555699995824398,0.0,0.0,0.0,37.3,0.0
131,2025-12-05T15:38:10.531210,0.11649999999008287,0.0,0.0,0.5,37.8,-0.1
132,2025-12-05T15:38:10.537764,0.11807400005636737,0.0,0.0,-0.5,37.3,0.2
133,2025-12-05T15:38:10.544405,0.11800099991887691,0.0,0.0,0.0,37.3,-0.1
134,2025-12-05T15:38:10.550935,0.1150749999396794,0.0,0.0,0.0,37.3,0.20000000000000004
135,2025-12-05T15:38:10.557471,0.1156299999820476,0.0,0.0,-0.5,37.3,0.1
136,2025-12-05T15:38:10.564035,0.11700100003508851,0.0,0.0,-0.5999999999999943,36.7,0.0
137,2025-12-05T15:38:10.570576,0.11835199995857693,0.0,0.0,0.0,36.7,0
138,2025-12-05T15:38:10.577152,0.117315000011331,0.0,0.0,0.0,37.3,-0.1
139,2025-12-05T15:38:10.583806,0.11470499998722516,0.0,0.0,0.0,37.3,-0.2
140,2025-12-05T15:38:10.590420,0.12613000001238106,0.0,0.0,0.0,37.3,-0.1
141,2025-12-05T15:38:10.597000,0.11783399997966626,0.0,0.0,0.0,36.2,0.1
142,2025-12-05T15:38:10.603532,0.11829699997178977,0.0,0.0,0.0,37.3,0.0
143,2025-12-05T15:38:10.610004,0.11659300002975215,0.0,0.0,0.0,37.3,0.1
144,2025-12-05T15:38:10.616688,0.1159820000111722,0.0,0.0,0.0,37.3,0.20000000000000004
145,2025-12-05T15:38:10.623238,0.11590899998736859,0.0,0.0,0.0,37.3,-0.30000000000000004
146,2025-12-05T15:38:10.629834,0.11588900008518976,0.0,0.0,0.0,37.3,0.30000000000000004
147,2025-12-05T15:38:10.636368,0.11700000004566391,0.0,0.0,0.0,37.3,-0.1
148,2025-12-05T15:38:10.642906,0.11581599994769931,0.0,0.0,0.0,37.3,-0.2
149,2025-12-05T15:38:10.649536,0.11601900007462973,0.0,0.0,0.0,37.3,0.1
150,2025-12-05T15:38:10.656076,0.11800100003256375,0.0,0.0,0.5999999999999943,37.3,0.2
151,2025-12-05T15:38:10.662609,0.11787100004312379,0.0,0.0,-0.5999999999999943,36.7,0.0
152,2025-12-05T15:38:10.669219,0.11835200007226376,0.0,0.0,0.5999999999999943,37.3,-0.4
153,2025-12-05T15:38:10.675801,0.11787099992943695,0.0,0.0,0.0,37.3,-0.1
154,2025-12-05T15:38:10.682380,0.11500000005071342,0.0,0.0,1.0999999999999943,37.8,0.0
155,2025-12-05T15:38:10.688955,0.11544500000582048,0.0,0.0,0.0,37.8,0.1
156,2025-12-05T15:38:10.695497,0.11722300007477315,0.0,0.0,-0.5,37.3,-0.4
157,2025-12-05T15:38:10.702068,0.11677800000597927,0.0,0.0,0.0,37.8,0.2
158,2025-12-05T15:38:10.708622,0.11603699999795936,0.0,0.0,-0.5,37.3,-0.30000000000000004
159,2025-12-05T15:38:10.715280,0.11551900001904869,0.0,0.0,0.5,37.8,0.20000000000000004
160,2025-12-05T15:38:10.721841,0.11624200010373897,0.0,0.0,0.0,37.8,0.30000000000000004
161,2025-12-05T15:38:10.728402,0.11527799995292298,0.0,0.0,0.0,37.3,-0.1
162,2025-12-05T15:38:10.734914,0.1161309999133664,0.0,0.0,-0.5,37.3,0.1
163,2025-12-05T15:38:10.741455,0.11613000003762863,0.0,0.0,0.0,37.3,-0.1
164,2025-12-05T15:38:10.747998,0.11607499993715464,0.0,0.0,0.0,37.3,0.0
165,2025-12-05T15:38:10.754510,0.11609299997417111,0.0,0.0,0.0,37.8,0.2
